ID,Name,Filename_TZVP,Extension_TZVP,DBIDRef_TZVP,Conformers_TZVP,Extension_TZVP-Fine,DBIDRef_TZVP-Fine,Conformers_TZVP-Fine,CAS,MP,BP,Density,Mol. Wt.,rhoc,c1,c2,c3,c4,c5,c6,Tc
183,Indane,indane,cosmo,1,1,cosmo,4,1,496-11-7,-51.4,178,0.96,118.176,NA,NA,NA,NA,NA,NA,NA,NA
184,Pyrimidine,pyrimidine,cosmo,1,1,cosmo,4,1,289-95-2,21,123.5,1.079,80.088,NA,NA,NA,NA,NA,NA,NA,NA
185,Pyridazine,pyridazine,cosmo,1,1,cosmo,4,1,289-80-5,-8,222.6,1.105,80.088,NA,NA,NA,NA,NA,NA,NA,NA
186,Cyclopentane,cyclopentane,cosmo,1,1,cosmo,4,1,287-92-3,-93.8,49.2,0.74,70.133,NA,NA,NA,NA,NA,NA,NA,NA
187,1-Nonanol,1-nonanol,cosmo,1,2,cosmo,4,2,143-08-8,-5,213.5,0.82,144.254,NA,NA,NA,NA,NA,NA,NA,NA
188,Dipropylamine,dipropylamine,cosmo,1,1,cosmo,4,1,142-84-7,-63,109.3,0.73,101.19,NA,NA,NA,NA,NA,NA,NA,NA
189,Pyrrolidine,pyrrolidine,cosmo,1,1,cosmo,4,1,123-75-1,-57.8,86.6,0.85,71.121,NA,NA,NA,NA,NA,NA,NA,NA
190,4-Hydroxy-4-methylpentan-2-one,4-oh-4-me-2-pentanone,cosmo,1,7,cosmo,4,7,123-42-2,-47,168.5,0.935,116.158,NA,NA,NA,NA,NA,NA,NA,NA
191,Cyclopentanone,cyclopentanone,cosmo,1,1,cosmo,4,1,120-92-3,-51.3,130.7,0.944,84.116,NA,NA,NA,NA,NA,NA,NA,NA
192,Benzyl Benzoate,Benzyl_benzoate,cosmo,2,2,cosmo,5,2,120-51-4,19.4,323.5,1.11,212.244,NA,NA,NA,NA,NA,NA,NA,NA
193,Dibutylamine,dibutylamine,cosmo,1,1,cosmo,4,1,111-92-2,-62,159.6,0.76,129.243,NA,NA,NA,NA,NA,NA,NA,NA
194,1-Heptanol,1-heptanol,cosmo,1,2,cosmo,4,2,111-70-6,-34,176.2,0.82,116.201,NA,NA,NA,NA,NA,NA,NA,NA
195,Hexanedinitrile,hexanedinitrile,cosmo,1,3,cosmo,4,3,111-69-3,2.4,295,0.95,108.141,NA,NA,NA,NA,NA,NA,NA,NA
196,1-Hexanol,1-hexanol,cosmo,1,2,cosmo,4,2,111-27-3,-44.6,157,0.82,102.175,NA,NA,NA,NA,NA,NA,NA,NA
197,n-Pentylamine,n-pentylamine,cosmo,1,1,cosmo,4,1,110-58-7,-55,104.5,0.75,87.163,NA,NA,NA,NA,NA,NA,NA,NA
198,Thiophene,thiophene,cosmo,1,1,cosmo,4,1,110-02-1,-38.1,84.1,1.059,84.14,NA,NA,NA,NA,NA,NA,NA,NA
199,Tetrahydrothiophene,tetrahydrothiophene,cosmo,1,1,cosmo,4,1,110-01-0,-96.2,119.2,0.994,88.171,NA,NA,NA,NA,NA,NA,NA,NA
200,Furan,furane,cosmo,1,1,cosmo,4,1,110-00-9,-85.6,31.4,0.931,68.074,NA,NA,NA,NA,NA,NA,NA,NA
201,Pyrrole,pyrrole,cosmo,1,1,cosmo,4,1,109-97-7,-23.4,129.9,0.966,67.089,NA,NA,NA,NA,NA,NA,NA,NA
202,1-Butylamine,1-butylamine,cosmo,1,1,cosmo,4,1,109-73-9,-49.1,77.4,0.73,73.137,NA,NA,NA,NA,NA,NA,NA,NA
203,n-Propyl acetate,n-propylacetate,cosmo,1,2,cosmo,4,2,109-60-4,-95,101.6,0.883,102.132,NA,NA,NA,NA,NA,NA,NA,NA
